week,year,month,search_index,search_growth,momentum_4w,keyword_frequency,brand_popularity,avg_price,avg_rating,cotton_ratio,printed_ratio,oversized_ratio,pastel_ratio,dark_ratio,bright_ratio,pattern_printed_ratio,pattern_plain_ratio,image_count,availability_count,discount_avg,new_arrival_ratio,lag_1_search,lag_2_search,lag_3_search,rolling_mean_4w,rolling_std_4w,season_Monsoon,season_Summer,season_Winter,category_Jeans,category_Kurti,category_Saree,category_Streetwear,category_TShirt,trend_label,next_week_search
4,2021,1,55.04,0.1257925956228267,52.51,153,0.54,1970.19,3.29,0.18,0.1,0.02,0.74,0.44,0.0,0.1,0.9,259,296,0.16,0.16,48.89,54.73,51.38,52.51,2.927490392810878,0,0,1,0,0,0,0,0,2,56.72
5,2021,2,56.72,0.0305232558139534,53.845,150,0.46,1758.52,4.4,0.11,0.13,0.02,0.35,0.7,0.0,0.13,0.87,252,329,0.21,0.09,55.04,48.89,54.73,53.845,3.4170601399448617,0,0,1,0,0,0,0,0,1,62.65
6,2021,2,62.65,0.1045486600846261,55.825,189,0.89,2190.03,4.72,0.19,0.49,0.19,0.59,0.37,0.04,0.49,0.51,270,283,0.22,0.54,56.72,55.04,48.89,55.824999999999996,5.65956712125583,0,0,1,0,0,0,0,0,2,58.93
7,2021,2,58.93,-0.0593774940143655,58.335,186,0.46,1803.5,4.03,0.11,0.47,0.1,0.59,0.6,0.0,0.47,0.53,254,346,0.18,0.15,62.65,56.72,55.04,58.335,3.2882872948289315,0,0,1,0,0,0,0,0,0,64.61
8,2021,2,64.61,0.0963855421686747,60.7275,201,0.84,1884.7,3.32,0.49,0.16,0.25,0.23,0.46,0.31,0.16,0.84,275,357,0.14,0.07,58.93,62.65,56.72,60.7275,3.561875676288185,0,0,1,0,0,0,0,0,2,63.18
9,2021,3,63.18,-0.0221327967806841,62.3425,179,0.69,1925.56,4.43,0.09,0.17,0.38,0.09,0.29,0.62,0.17,0.83,311,348,0.24,0.39,64.61,58.93,62.65,62.3425,2.420927852429059,0,1,0,0,0,0,0,0,1,67.53
10,2021,3,67.53,0.0688509021842356,63.5625,212,0.37,1736.65,4.21,0.49,0.59,0.09,0.62,0.28,0.1,0.59,0.41,276,339,0.22,0.41,63.18,64.61,58.93,63.5625,3.57978933272152,0,1,0,0,0,0,0,0,2,63.49
11,2021,3,63.49,-0.0598252628461424,64.7025,190,0.46,1904.86,3.97,0.36,0.51,0.02,0.56,0.31,0.13,0.51,0.49,253,330,0.29,0.56,67.53,63.18,64.61,64.7025,1.9825467627944573,0,1,0,0,0,0,0,0,0,65.27
12,2021,3,65.27,0.0280359111671129,64.8675,197,0.73,1876.47,4.01,0.19,0.52,0.33,0.4,0.57,0.03,0.52,0.48,249,350,0.22,0.08,63.49,67.53,63.18,64.8675,1.999672889916443,0,1,0,0,0,0,0,0,1,54.46
13,2021,4,54.46,-0.1656197334150451,62.6875,157,0.5,1794.76,3.32,0.34,0.6,0.1,0.3,0.26,0.44,0.6,0.4,237,281,0.23,0.1,65.27,63.49,67.53,62.6875,5.728725134501289,0,1,0,0,0,0,0,0,0,65.06
