week,year,month,season,category,search_index,search_growth,momentum_4w,keyword_frequency,brand_popularity,avg_price,avg_rating,cotton_ratio,printed_ratio,oversized_ratio,pastel_ratio,dark_ratio,bright_ratio,pattern_printed_ratio,pattern_plain_ratio,image_count,availability_count,discount_avg,new_arrival_ratio,trend_label,next_week_search
1,2021,1,Winter,Hoodie,51.38,0.0,52.51,157,0.63,1993.06,3.75,0.52,0.11,0.17,0.55,0.55,0.0,0.11,0.89,283,293,0.16,0.15,1,54.73
2,2021,1,Winter,Hoodie,54.73,0.0652004671078239,52.51,157,0.84,1958.38,3.95,0.2,0.31,0.02,0.33,0.3,0.37,0.31,0.69,281,299,0.21,0.17,2,48.89
3,2021,1,Winter,Hoodie,48.89,-0.10670564589804488,52.51,151,0.77,2240.93,4.07,0.3,0.2,0.11,0.44,0.52,0.04,0.2,0.8,232,262,0.17,0.09,0,55.04
4,2021,1,Winter,Hoodie,55.04,0.12579259562282674,52.51,153,0.54,1970.19,3.29,0.18,0.1,0.02,0.74,0.44,0.0,0.1,0.9,259,296,0.16,0.16,2,56.72
5,2021,2,Winter,Hoodie,56.72,0.03052325581395343,53.845,150,0.46,1758.52,4.4,0.11,0.13,0.02,0.35,0.7,0.0,0.13,0.87,252,329,0.21,0.09,1,62.65
6,2021,2,Winter,Hoodie,62.65,0.10454866008462615,55.824999999999996,189,0.89,2190.03,4.72,0.19,0.49,0.19,0.59,0.37,0.04,0.49,0.51,270,283,0.22,0.54,2,58.93
7,2021,2,Winter,Hoodie,58.93,-0.05937749401436554,58.335,186,0.46,1803.5,4.03,0.11,0.47,0.1,0.59,0.6,0.0,0.47,0.53,254,346,0.18,0.15,0,64.61
8,2021,2,Winter,Hoodie,64.61,0.09638554216867479,60.7275,201,0.84,1884.7,3.32,0.49,0.16,0.25,0.23,0.46,0.31,0.16,0.84,275,357,0.14,0.07,2,63.18
9,2021,3,Summer,Hoodie,63.18,-0.02213279678068414,62.3425,179,0.69,1925.56,4.43,0.09,0.17,0.38,0.09,0.29,0.62,0.17,0.83,311,348,0.24,0.39,1,67.53
10,2021,3,Summer,Hoodie,67.53,0.06885090218423562,63.5625,212,0.37,1736.65,4.21,0.49,0.59,0.09,0.62,0.28,0.1,0.59,0.41,276,339,0.22,0.41,2,63.49
11,2021,3,Summer,Hoodie,63.49,-0.059825262846142424,64.7025,190,0.46,1904.86,3.97,0.36,0.51,0.02,0.56,0.31,0.13,0.51,0.49,253,330,0.29,0.56,0,65.27
12,2021,3,Summer,Hoodie,65.27,0.028035911167112904,64.8675,197,0.73,1876.47,4.01,0.19,0.52,0.33,0.4,0.57,0.03,0.52,0.48,249,350,0.22,0.08,1,54.46
13,2021,4,Summer,Hoodie,54.46,-0.1656197334150451,62.6875,157,0.5,1794.76,3.32,0.34,0.6,0.1,0.3,0.26,0.44,0.6,0.4,237,281,0.23,0.1,0,65.06
14,2021,4,Summer,Hoodie,65.06,0.19463826661770112,62.07,211,0.61,7606.04,4.62,0.39,0.14,0.04,0.33,0.31,0.36,0.14,0.86,290,341,0.2,0.22,2,68.4
15,2021,4,Summer,Hoodie,68.4,0.05133722717491551,63.2975,219,0.41,2082.93,4.13,0.36,0.53,0.31,0.51,0.16,0.33,0.53,0.47,269,320,0.15,0.1,2,63.84
16,2021,4,Summer,Hoodie,63.84,-0.06666666666666665,62.940000000000005,179,0.57,2003.61,4.07,0.14,0.4,0.33,0.42,0.24,0.34,0.4,0.6,276,370,0.26,0.24,0,57.03
17,2021,5,Summer,Hoodie,57.03,-0.10667293233082709,63.5825,172,0.44,1798.27,4.48,0.07,0.39,0.11,0.54,0.2,0.26,0.39,0.61,270,310,0.1,0.12,0,58.28
