date,keyword,search_index,scrape_date
2/24/2026 10:00,saree,69,3/3/2026
2/24/2026 11:00,saree,70,3/3/2026
2/24/2026 12:00,saree,67,3/3/2026
2/24/2026 13:00,saree,67,3/3/2026
2/24/2026 14:00,saree,69,3/3/2026
2/24/2026 15:00,saree,76,3/3/2026
2/24/2026 16:00,saree,81,3/3/2026
2/24/2026 17:00,saree,92,3/3/2026
2/24/2026 18:00,saree,94,3/3/2026
2/24/2026 19:00,saree,93,3/3/2026
2/24/2026 20:00,saree,82,3/3/2026
2/24/2026 21:00,saree,75,3/3/2026
2/24/2026 22:00,saree,73,3/3/2026
2/24/2026 23:00,saree,62,3/3/2026
2/25/2026 0:00,saree,62,3/3/2026
2/25/2026 1:00,saree,62,3/3/2026
2/25/2026 2:00,saree,62,3/3/2026
2/25/2026 3:00,saree,60,3/3/2026
2/25/2026 4:00,saree,56,3/3/2026
2/25/2026 5:00,saree,64,3/3/2026
2/25/2026 6:00,saree,62,3/3/2026
2/25/2026 7:00,saree,65,3/3/2026
2/25/2026 8:00,saree,70,3/3/2026
2/25/2026 9:00,saree,71,3/3/2026
2/25/2026 10:00,saree,71,3/3/2026
2/25/2026 11:00,saree,67,3/3/2026
2/25/2026 12:00,saree,70,3/3/2026
2/25/2026 13:00,saree,66,3/3/2026
2/25/2026 14:00,saree,73,3/3/2026
2/25/2026 15:00,saree,71,3/3/2026
2/25/2026 16:00,saree,77,3/3/2026
2/25/2026 17:00,saree,91,3/3/2026
2/25/2026 18:00,saree,97,3/3/2026
2/25/2026 19:00,saree,94,3/3/2026
2/25/2026 20:00,saree,80,3/3/2026
2/25/2026 21:00,saree,78,3/3/2026
2/25/2026 22:00,saree,68,3/3/2026
2/25/2026 23:00,saree,62,3/3/2026
2/26/2026 0:00,saree,66,3/3/2026
2/26/2026 1:00,saree,60,3/3/2026
2/26/2026 2:00,saree,60,3/3/2026
2/26/2026 3:00,saree,62,3/3/2026
2/26/2026 4:00,saree,54,3/3/2026
2/26/2026 5:00,saree,60,3/3/2026
2/26/2026 6:00,saree,61,3/3/2026
2/26/2026 7:00,saree,65,3/3/2026
2/26/2026 8:00,saree,65,3/3/2026
2/26/2026 9:00,saree,68,3/3/2026
2/26/2026 10:00,saree,66,3/3/2026
2/26/2026 11:00,saree,64,3/3/2026
2/26/2026 12:00,saree,64,3/3/2026
2/26/2026 13:00,saree,60,3/3/2026
2/26/2026 14:00,saree,68,3/3/2026
2/26/2026 15:00,saree,74,3/3/2026
2/26/2026 16:00,saree,76,3/3/2026
2/26/2026 17:00,saree,82,3/3/2026
2/26/2026 18:00,saree,97,3/3/2026
2/26/2026 19:00,saree,91,3/3/2026
2/26/2026 20:00,saree,80,3/3/2026
2/26/2026 21:00,saree,70,3/3/2026
2/26/2026 22:00,saree,62,3/3/2026
2/26/2026 23:00,saree,58,3/3/2026
2/27/2026 0:00,saree,57,3/3/2026
2/27/2026 1:00,saree,58,3/3/2026
2/27/2026 2:00,saree,58,3/3/2026
2/27/2026 3:00,saree,57,3/3/2026
2/27/2026 4:00,saree,56,3/3/2026
2/27/2026 5:00,saree,61,3/3/2026
2/27/2026 6:00,saree,61,3/3/2026
2/27/2026 7:00,saree,68,3/3/2026
2/27/2026 8:00,saree,66,3/3/2026
2/27/2026 9:00,saree,69,3/3/2026
2/27/2026 10:00,saree,70,3/3/2026
2/27/2026 11:00,saree,69,3/3/2026
2/27/2026 12:00,saree,69,3/3/2026
2/27/2026 13:00,saree,68,3/3/2026
2/27/2026 14:00,saree,75,3/3/2026
2/27/2026 15:00,saree,71,3/3/2026
2/27/2026 16:00,saree,80,3/3/2026
2/27/2026 17:00,saree,89,3/3/2026
2/27/2026 18:00,saree,95,3/3/2026
2/27/2026 19:00,saree,91,3/3/2026
2/27/2026 20:00,saree,85,3/3/2026
2/27/2026 21:00,saree,73,3/3/2026
2/27/2026 22:00,saree,67,3/3/2026
2/27/2026 23:00,saree,65,3/3/2026
2/28/2026 0:00,saree,59,3/3/2026
2/28/2026 1:00,saree,63,3/3/2026
2/28/2026 2:00,saree,63,3/3/2026
2/28/2026 3:00,saree,62,3/3/2026
2/28/2026 4:00,saree,58,3/3/2026
2/28/2026 5:00,saree,64,3/3/2026
2/28/2026 6:00,saree,70,3/3/2026
2/28/2026 7:00,saree,72,3/3/2026
2/28/2026 8:00,saree,77,3/3/2026
2/28/2026 9:00,saree,79,3/3/2026
2/28/2026 10:00,saree,76,3/3/2026
2/28/2026 11:00,saree,78,3/3/2026
2/28/2026 12:00,saree,75,3/3/2026
2/28/2026 13:00,saree,68,3/3/2026
2/28/2026 14:00,saree,71,3/3/2026
2/28/2026 15:00,saree,66,3/3/2026
2/28/2026 16:00,saree,74,3/3/2026
2/28/2026 17:00,saree,88,3/3/2026
2/28/2026 18:00,saree,100,3/3/2026
2/28/2026 19:00,saree,95,3/3/2026
2/28/2026 20:00,saree,84,3/3/2026
2/28/2026 21:00,saree,71,3/3/2026
2/28/2026 22:00,saree,68,3/3/2026
2/28/2026 23:00,saree,63,3/3/2026
3/1/2026 0:00,saree,67,3/3/2026
3/1/2026 1:00,saree,62,3/3/2026
3/1/2026 2:00,saree,62,3/3/2026
3/1/2026 3:00,saree,61,3/3/2026
3/1/2026 4:00,saree,63,3/3/2026
3/1/2026 5:00,saree,68,3/3/2026
3/1/2026 6:00,saree,77,3/3/2026
3/1/2026 7:00,saree,80,3/3/2026
3/1/2026 8:00,saree,78,3/3/2026
3/1/2026 9:00,saree,81,3/3/2026
3/1/2026 10:00,saree,89,3/3/2026
3/1/2026 11:00,saree,84,3/3/2026
3/1/2026 12:00,saree,79,3/3/2026
3/1/2026 13:00,saree,65,3/3/2026
3/1/2026 14:00,saree,73,3/3/2026
3/1/2026 15:00,saree,66,3/3/2026
3/1/2026 16:00,saree,75,3/3/2026
3/1/2026 17:00,saree,80,3/3/2026
3/1/2026 18:00,saree,99,3/3/2026
3/1/2026 19:00,saree,95,3/3/2026
3/1/2026 20:00,saree,89,3/3/2026
3/1/2026 21:00,saree,78,3/3/2026
3/1/2026 22:00,saree,66,3/3/2026
3/1/2026 23:00,saree,58,3/3/2026
3/2/2026 0:00,saree,57,3/3/2026
3/2/2026 1:00,saree,56,3/3/2026
3/2/2026 2:00,saree,57,3/3/2026
3/2/2026 3:00,saree,53,3/3/2026
3/2/2026 4:00,saree,52,3/3/2026
3/2/2026 5:00,saree,55,3/3/2026
3/2/2026 6:00,saree,59,3/3/2026
3/2/2026 7:00,saree,63,3/3/2026
3/2/2026 8:00,saree,68,3/3/2026
3/2/2026 9:00,saree,69,3/3/2026
3/2/2026 10:00,saree,67,3/3/2026
3/2/2026 11:00,saree,64,3/3/2026
3/2/2026 12:00,saree,63,3/3/2026
3/2/2026 13:00,saree,64,3/3/2026
3/2/2026 14:00,saree,63,3/3/2026
3/2/2026 15:00,saree,65,3/3/2026
3/2/2026 16:00,saree,74,3/3/2026
3/2/2026 17:00,saree,87,3/3/2026
3/2/2026 18:00,saree,93,3/3/2026
3/2/2026 19:00,saree,90,3/3/2026
3/2/2026 20:00,saree,80,3/3/2026
3/2/2026 21:00,saree,73,3/3/2026
3/2/2026 22:00,saree,69,3/3/2026
3/2/2026 23:00,saree,59,3/3/2026
3/3/2026 0:00,saree,62,3/3/2026
3/3/2026 1:00,saree,59,3/3/2026
3/3/2026 2:00,saree,58,3/3/2026
3/3/2026 3:00,saree,54,3/3/2026
3/3/2026 4:00,saree,53,3/3/2026
3/3/2026 5:00,saree,59,3/3/2026
3/3/2026 6:00,saree,63,3/3/2026
3/3/2026 7:00,saree,69,3/3/2026
3/3/2026 8:00,saree,67,3/3/2026
3/3/2026 9:00,saree,67,3/3/2026
3/3/2026 10:00,saree,80,3/3/2026
2/24/2026 10:00,kurti,71,3/3/2026
2/24/2026 11:00,kurti,75,3/3/2026
2/24/2026 12:00,kurti,76,3/3/2026
2/24/2026 13:00,kurti,79,3/3/2026
2/24/2026 14:00,kurti,83,3/3/2026
2/24/2026 15:00,kurti,83,3/3/2026
2/24/2026 16:00,kurti,78,3/3/2026
2/24/2026 17:00,kurti,80,3/3/2026
2/24/2026 18:00,kurti,82,3/3/2026
2/24/2026 19:00,kurti,87,3/3/2026
2/24/2026 20:00,kurti,73,3/3/2026
2/24/2026 21:00,kurti,58,3/3/2026
