scrape_date,brand,product_name,price,rating,category
3/2/2026,Sangria,Boys Pure Cotton Kurta,Rs. 629,"4.4
|
536",kurta
3/2/2026,Sangria,Women Ethnic Motifs Printed Kurta,Rs. 655,"4.3
|
9.4k",kurta
3/2/2026,Varanga,Womens WorkWear Kurtas,Rs. 599,,kurta
3/2/2026,Sangria,Girls Embroidered Kurtas,Rs. 604,,kurta
3/2/2026,ZAKAR STYLE,Kids Boys Casual Kurta,Rs. 424,,kurta
3/2/2026,BAESD,Girls Ethnic Motifs Printed Kurta,Rs. 450,"3.4
|
29",kurta
3/2/2026,KALINI,Girls Geometric Kurta,Rs. 492,,kurta
3/2/2026,RANGRAAG,Mandarin Collar Kurta,Rs. 993,,kurta
3/2/2026,VASTRAMAY,Girls Cotton Straight Kurta,Rs. 729,"4.5
|
37",kurta
3/2/2026,KJFAB,Women Floral Printed Kurta,Rs. 369,"4.3
|
131",kurta
3/2/2026,DMP FASHION,Girls Cotton Straight Kurta,Rs. 353,"4.1
|
143",kurta
3/2/2026,RANGRAAG,Mandarin Collar Kurta,Rs. 864,,kurta
3/2/2026,Varanga,Womens WorkWear Kurtas,Rs. 692,,kurta
3/2/2026,Sangria,Boys Printed Straight Kurta,Rs. 639,"4.3
|
246",kurta
3/2/2026,DMP EXPORT,Cotton Kurtas,Rs. 370,,kurta
3/2/2026,VASTRAMAY,Men Pathani Kurta,Rs. 950,,kurta
3/2/2026,Aarika,Girls Cotton Straight Kurta,Rs. 217,"3.5
|
53",kurta
3/2/2026,Sangria,Girls Pure Cotton Kurta,Rs. 499,"3.4
|
40",kurta
3/2/2026,BAESD,Girls Kurta,Rs. 262,,kurta
3/2/2026,BAESD,Girls Printed Straight Kurta,Rs. 538,,kurta
3/2/2026,TATTVA,Boys Kurta,Rs. 798,,kurta
3/2/2026,Sevgi,Girls Embroidered A-Line Kurta,Rs. 351,"4.1
|
20",kurta
3/2/2026,ZAKAR STYLE,Kids Boys Casual Kurta,Rs. 424,,kurta
3/2/2026,Nayo,Women Ethnic Motifs Printed Kurta,Rs. 699,"4
|
32",kurta
3/2/2026,DMP EXPORT,Cotton Kurtas,Rs. 370,,kurta
3/2/2026,Anouk Mirage,Men Geometric Embroidered Kurta,Rs. 699,,kurta
3/2/2026,VASTRAMAY,Printed Cotton Straight Kurta,Rs. 774,"4.6
|
158",kurta
3/2/2026,Sangria,Embroidered Straight Kurta,Rs. 564,"4.3
|
9.4k",kurta
3/2/2026,KURTA WALLAH,Men Geometric Printed Kurta,Rs. 448,"3.7
|
342",kurta
3/2/2026,VASTRAMAY,Striped Mandarin Collar Kurta,Rs. 849,"4.3
|
804",kurta
3/2/2026,DMP FASHION,Girls Cotton Straight Kurta,Rs. 353,"3.4
|
28",kurta
3/2/2026,VASTRAMAY,Girls Printed Cotton Kurta,Rs. 479,"4.3
|
367",kurta
3/2/2026,VASTRADO,Embroidered Cotton Kurta,Rs. 644,"4.5
|
26",kurta
3/2/2026,SZN,Women Floral Printed Kurta,Rs. 593,"4.4
|
1.9k",kurta
3/2/2026,KALINI,Girls Bandhani Striped Kurta,Rs. 542,,kurta
3/2/2026,VASTRADO,Printed Cotton Kurta,Rs. 569,"4.3
|
29",kurta
3/2/2026,HERE&NOW,Woven Design A-Line Kurta,Rs. 505,"4.2
|
7.6k",kurta
3/2/2026,ZAKAR STYLE,Boys Casual Kurta,Rs. 424,,kurta
3/2/2026,Varanga,Women Latest Kurtas,Rs. 706,,kurta
3/2/2026,Sa Rasa,Floral Printed Anarkali Kurta,Rs. 482,"3.9
|
5k",kurta
3/2/2026,Mialo fashion,Straight Cotton Kurta.,Rs. 329,,kurta
3/2/2026,VASTRAMAY,Bandhani Printed Kurta,Rs. 886,"4.4
|
1.1k",kurta
3/2/2026,Anouk Mirage,Women Floral Printed Kurta,Rs. 339,"4.3
|
283",kurta
3/2/2026,DMP EXPORT,Cotton Kurtas,Rs. 370,"4.1
|
8",kurta
3/2/2026,VASTRADO,Printed Jacquard Kurta,Rs. 699,"4.3
|
35",kurta
3/2/2026,Sa Rasa,Cotton Printed Ethnic Dress,Rs. 538,"3.9
|
5k",kurta
3/2/2026,Sangria,Printed Cotton A-Line Kurta,Rs. 689,"4.1
|
705",kurta
3/2/2026,Sangria,Women Ethnic Motifs Printed Kurta,Rs. 655,"4.3
|
9.4k",kurta
3/2/2026,Varanga,Womens WorkWear Kurtas,Rs. 599,,kurta
3/2/2026,FIORRA,Printed Cotton A-Line Kurta,Rs. 639,"4.4
|
7.8k",kurta
3/2/2026,Anouk,Printed Straight Kurta,Rs. 639,"4.3
|
3.5k",kurta
3/2/2026,Rimeline,Floral Printed Straight Kurta,Rs. 499,"4.4
|
9.9k",kurta
3/2/2026,anayna,Women Striped Kurta,Rs. 424,"4.3
|
6.9k",kurta
3/2/2026,Sangria,Tribal Print Cotton Kurta,Rs. 764,"4
|
120",kurta
3/2/2026,Anouk,Men Geometric Printed Short Kurta,Rs. 652,"4.2
|
5.1k",kurta
3/2/2026,Varanga,Womens WorkWear Kurtas,Rs. 692,,kurta
3/2/2026,Indo Era,Embroidered Straight Kurta,Rs. 799,"4.6
|
1.7k",kurta
3/2/2026,Anouk,Women Floral Embroidered Kurta,Rs. 539,"4.3
|
4.3k",kurta
3/2/2026,VASTRAMAY,Men Pathani Kurta,Rs. 950,,kurta
3/2/2026,Anouk Mirage,Men Geometric Embroidered Kurta,Rs. 699,,kurta
3/2/2026,Sangria,Embroidered Straight Kurta,Rs. 564,"4.3
|
9.4k",kurta
3/2/2026,Royal Export,Floral Printed Straight Kurta,Rs. 335,"4.2
|
745",kurta
3/2/2026,FIORRA,Printed Cotton A-Line Kurta,Rs. 639,"4.4
|
7.8k",kurta
3/2/2026,TATTVA,Boys Kurta,Rs. 798,,kurta
3/2/2026,Varanga,Women Ethnic Motifs Printed Kurta,Rs. 539,"4.3
|
2.2k",kurta
3/2/2026,SZN,Women Floral Printed Kurta,Rs. 593,"4.4
|
1.9k",kurta
3/2/2026,Nayo,Women Ethnic Motifs Printed Kurta,Rs. 699,"4
|
32",kurta
3/2/2026,HERE&NOW,Men Embroidered Kurta,Rs. 799,"4.4
|
242",kurta
3/2/2026,anayna,Women Ethnic Motifs Printed Kurta,Rs. 499,"4.2
|
30k",kurta
